Model,Train,Test,RÂ²,RMSE,MAE
GBDT,exp,exp,0.7916029445267787,0.573681348014307,0.4084933288267026
RF,exp,exp,0.7727154046783611,0.5991146529774193,0.40962068585202716
SVR,exp,exp,0.7451877022533087,0.6343590394811475,0.4104393378103924
KRR,exp,exp,0.7201121055752246,0.6648397818133733,0.4755302325745771
RF,dft,dft,0.7757655518140111,0.699944737700304,0.4621975897502249
RR,exp,exp,0.668590447664845,0.7234482190496759,0.5330211102070447
SVR,dft,dft,0.6923709132723812,0.8198346785315151,0.5549527629010447
GBDT,dft,dft,0.6474678723498954,0.8776309648294585,0.6692307826396038
KRR,dft,dft,0.6317420377610574,0.8969921854587489,0.6769665205571452
RF,dft,exp,0.45125622735846194,0.9309143889968945,0.7445402152217407
SVR,dft,exp,0.3744039035302672,0.9939669770580045,0.7895719437461777
KRR,dft,exp,0.36153808112610053,1.0041357749548916,0.7884288459235561
GBDT,dft,exp,0.34369197469458157,1.0180727149743938,0.8084126012115954
RR,dft,exp,0.22486391399915284,1.1064044622208307,0.869789592653446
RR,dft,dft,0.4317921508461875,1.1142078170296492,0.894725672116228
KRR,exp,dft,0.07865188388256017,1.41881072521656,1.1184196841968899
GBDT,exp,dft,0.046973091799511035,1.4429961358977232,1.1143224317579623
SVR,exp,dft,0.0417413421389794,1.4469514607712357,1.1468626429475353
RF,exp,dft,0.010881361127542677,1.4700658182788344,1.1567277701760388
RR,exp,dft,-0.1378080220354838,1.5766927926531356,1.2100023599830503
