rank_test_score,param_knn__n_neighbors,param_knn__weights,param_knn__p,param_knn__metric,train_rmse,test_rmse
1,5,distance,1,manhattan,0.012254261193514002,0.6413197865168851
1,5,distance,1,minkowski,0.012254261193514002,0.6413197865168851
1,5,distance,2,manhattan,0.012254261193514002,0.6413197865168851
4,3,distance,2,manhattan,0.012254261193514002,0.6465075983634413
4,3,distance,1,manhattan,0.012254261193514002,0.6465075983634413
4,3,distance,1,minkowski,0.012254261193514002,0.6465075983634413
7,7,distance,2,manhattan,0.012254261193514002,0.6484168539170444
7,7,distance,1,minkowski,0.012254261193514002,0.6484168539170444
7,7,distance,1,manhattan,0.012254261193514002,0.6484168539170444
10,9,distance,2,manhattan,0.012254261193514002,0.6510499082806628
10,9,distance,1,minkowski,0.012254261193514002,0.6510499082806628
10,9,distance,1,manhattan,0.012254261193514002,0.6510499082806628
13,11,distance,1,minkowski,0.012254261193514002,0.6572013988667388
13,11,distance,1,manhattan,0.012254261193514002,0.6572013988667388
13,11,distance,2,manhattan,0.012254261193514002,0.6572013988667388
16,13,distance,1,manhattan,0.012254261193514002,0.6661192675165197
16,13,distance,1,minkowski,0.012254261193514002,0.6661192675165197
16,13,distance,2,manhattan,0.012254261193514002,0.6661192675165197
19,15,distance,1,manhattan,0.012254261193514002,0.6714048722527558
19,15,distance,1,minkowski,0.012254261193514002,0.6714048722527558
19,15,distance,2,manhattan,0.012254261193514002,0.6714048722527558
22,3,uniform,1,manhattan,0.45478904022462047,0.6763789189799354
22,3,uniform,1,minkowski,0.45478904022462047,0.6763789189799354
22,3,uniform,2,manhattan,0.45478904022462047,0.6763789189799354
25,17,distance,2,manhattan,0.012254261193514002,0.6797214103111143
25,17,distance,1,minkowski,0.012254261193514002,0.6797214103111143
25,17,distance,1,manhattan,0.012254261193514002,0.6797214103111143
28,5,uniform,1,minkowski,0.5359808574472315,0.6820155357921412
28,5,uniform,2,manhattan,0.5359808574472315,0.6820155357921412
28,5,uniform,1,manhattan,0.5359808574472315,0.6820155357921412
31,5,distance,1,euclidean,0.012254261194755709,0.6832089887352549
31,5,distance,2,minkowski,0.012254261194755709,0.6832089887352549
31,5,distance,2,euclidean,0.012254261194755709,0.6832089887352549
34,19,distance,1,minkowski,0.012254261193514002,0.6855097708633097
34,19,distance,2,manhattan,0.012254261193514002,0.6855097708633097
34,19,distance,1,manhattan,0.012254261193514002,0.6855097708633097
37,7,distance,2,minkowski,0.012254261195234876,0.6866858928563457
37,7,distance,2,euclidean,0.012254261195234876,0.6866858928563457
37,7,distance,1,euclidean,0.012254261195234876,0.6866858928563457
40,3,distance,2,minkowski,0.012254261194353196,0.690398721032417
40,3,distance,2,euclidean,0.012254261194353196,0.690398721032417
40,3,distance,1,euclidean,0.012254261194353196,0.690398721032417
43,21,distance,1,minkowski,0.012254261193514002,0.6913091731490851
43,21,distance,2,manhattan,0.012254261193514002,0.6913091731490851
43,21,distance,1,manhattan,0.012254261193514002,0.6913091731490851
46,7,uniform,1,minkowski,0.582493666064331,0.6968914654733998
46,7,uniform,1,manhattan,0.582493666064331,0.6968914654733998
46,7,uniform,2,manhattan,0.582493666064331,0.6968914654733998
49,9,distance,1,euclidean,0.012254261195804625,0.6970905791443065
49,9,distance,2,euclidean,0.012254261195804625,0.6970905791443065
49,9,distance,2,minkowski,0.012254261195804625,0.6970905791443065
52,23,distance,1,manhattan,0.012254261193514002,0.697819048028893
52,23,distance,2,manhattan,0.012254261193514002,0.697819048028893
52,23,distance,1,minkowski,0.012254261193514002,0.697819048028893
55,25,distance,1,minkowski,0.012254261193514002,0.7015040758043299
55,25,distance,2,manhattan,0.012254261193514002,0.7015040758043299
55,25,distance,1,manhattan,0.012254261193514002,0.7015040758043299
58,11,distance,2,minkowski,0.012254261196460349,0.7038542267408666
58,11,distance,1,euclidean,0.012254261196460349,0.7038542267408666
58,11,distance,2,euclidean,0.012254261196460349,0.7038542267408666
61,9,uniform,1,manhattan,0.616935224901023,0.7041615622443647
61,9,uniform,1,minkowski,0.616935224901023,0.7041615622443647
61,9,uniform,2,manhattan,0.616935224901023,0.7041615622443647
64,27,distance,1,manhattan,0.012254261193514002,0.7056487394910843
64,27,distance,2,manhattan,0.012254261193514002,0.7056487394910843
64,27,distance,1,minkowski,0.012254261193514002,0.7056487394910843
67,29,distance,1,minkowski,0.012254261193514002,0.7087843430147385
67,29,distance,2,manhattan,0.012254261193514002,0.7087843430147385
67,29,distance,1,manhattan,0.012254261193514002,0.7087843430147385
70,13,distance,2,minkowski,0.012254261197150566,0.7115180672731888
70,13,distance,1,euclidean,0.012254261197150566,0.7115180672731888
70,13,distance,2,euclidean,0.012254261197150566,0.7115180672731888
73,31,distance,1,minkowski,0.012254261193514002,0.7125999692545726
73,31,distance,2,manhattan,0.012254261193514002,0.7125999692545726
73,31,distance,1,manhattan,0.012254261193514002,0.7125999692545726
76,11,uniform,1,manhattan,0.6466672440380654,0.7146514809790142
76,11,uniform,1,minkowski,0.6466672440380654,0.7146514809790142
76,11,uniform,2,manhattan,0.6466672440380654,0.7146514809790142
79,3,uniform,1,euclidean,0.48407397187386925,0.7152273402287049
79,3,uniform,2,euclidean,0.48407397187386925,0.7152273402287049
79,3,uniform,2,minkowski,0.48407397187386925,0.7152273402287049
82,15,distance,1,euclidean,0.012254261197905464,0.7156671142979889
82,15,distance,2,euclidean,0.012254261197905464,0.7156671142979889
82,15,distance,2,minkowski,0.012254261197905464,0.7156671142979889
85,5,uniform,1,euclidean,0.5676195095375778,0.7159250368789075
85,5,uniform,2,euclidean,0.5676195095375778,0.7159250368789075
85,5,uniform,2,minkowski,0.5676195095375778,0.7159250368789075
88,33,distance,1,minkowski,0.012254261193514002,0.7164661186134805
88,33,distance,1,manhattan,0.012254261193514002,0.7164661186134805
88,33,distance,2,manhattan,0.012254261193514002,0.7164661186134805
91,35,distance,2,manhattan,0.012254261193514002,0.7200671664071747
91,35,distance,1,manhattan,0.012254261193514002,0.7200671664071747
91,35,distance,1,minkowski,0.012254261193514002,0.7200671664071747
94,17,distance,2,minkowski,0.012254261198712634,0.7214440375988679
94,17,distance,1,euclidean,0.012254261198712634,0.7214440375988679
94,17,distance,2,euclidean,0.012254261198712634,0.7214440375988679
97,37,distance,2,manhattan,0.012254261193514002,0.7228576715408932
97,37,distance,1,manhattan,0.012254261193514002,0.7228576715408932
97,37,distance,1,minkowski,0.012254261193514002,0.7228576715408932
100,7,uniform,2,minkowski,0.6189742133552637,0.725256507792167
100,7,uniform,2,euclidean,0.6189742133552637,0.725256507792167
100,7,uniform,1,euclidean,0.6189742133552637,0.725256507792167
103,39,distance,1,manhattan,0.012254261193514002,0.7260169440186856
103,39,distance,1,minkowski,0.012254261193514002,0.7260169440186856
103,39,distance,2,manhattan,0.012254261193514002,0.7260169440186856
106,13,uniform,1,minkowski,0.6678485955798981,0.7267036136130702
106,13,uniform,1,manhattan,0.6678485955798981,0.7267036136130702
106,13,uniform,2,manhattan,0.6678485955798981,0.7267036136130702
109,41,distance,2,manhattan,0.012254261193514002,0.7283300585636717
109,41,distance,1,manhattan,0.012254261193514002,0.7283300585636717
109,41,distance,1,minkowski,0.012254261193514002,0.7283300585636717
112,19,distance,1,euclidean,0.012254261199572462,0.7284078477110529
112,19,distance,2,minkowski,0.012254261199572462,0.7284078477110529
112,19,distance,2,euclidean,0.012254261199572462,0.7284078477110529
115,43,distance,2,manhattan,0.012254261193514002,0.730854681198258
115,43,distance,1,minkowski,0.012254261193514002,0.730854681198258
115,43,distance,1,manhattan,0.012254261193514002,0.730854681198258
118,21,distance,2,minkowski,0.012254261200494602,0.7326771403638463
118,21,distance,1,euclidean,0.012254261200494602,0.7326771403638463
118,21,distance,2,euclidean,0.012254261200494602,0.7326771403638463
121,45,distance,2,manhattan,0.012254261193514002,0.733764995598413
121,45,distance,1,manhattan,0.012254261193514002,0.733764995598413
121,45,distance,1,minkowski,0.012254261193514002,0.733764995598413
124,15,uniform,1,minkowski,0.6868924844046652,0.7345651991000836
124,15,uniform,2,manhattan,0.6868924844046652,0.7345651991000836
124,15,uniform,1,manhattan,0.6868924844046652,0.7345651991000836
127,47,distance,1,manhattan,0.012254261193514002,0.7360784782496176
127,47,distance,1,minkowski,0.012254261193514002,0.7360784782496176
127,47,distance,2,manhattan,0.012254261193514002,0.7360784782496176
130,23,distance,2,minkowski,0.012254261201471198,0.7364191678854629
130,23,distance,1,euclidean,0.012254261201471198,0.7364191678854629
130,23,distance,2,euclidean,0.012254261201471198,0.7364191678854629
133,49,distance,1,minkowski,0.012254261193514002,0.7386759335740888
133,49,distance,1,manhattan,0.012254261193514002,0.7386759335740888
133,49,distance,2,manhattan,0.012254261193514002,0.7386759335740888
136,25,distance,2,minkowski,0.012254261202513462,0.7397015413881021
136,25,distance,2,euclidean,0.012254261202513462,0.7397015413881021
136,25,distance,1,euclidean,0.012254261202513462,0.7397015413881021
139,51,distance,1,minkowski,0.012254261193514002,0.74121923213792
139,51,distance,1,manhattan,0.012254261193514002,0.74121923213792
139,51,distance,2,manhattan,0.012254261193514002,0.74121923213792
142,9,uniform,1,euclidean,0.6529898099477369,0.7412834736120345
142,9,uniform,2,minkowski,0.6529898099477369,0.7412834736120345
142,9,uniform,2,euclidean,0.6529898099477369,0.7412834736120345
145,27,distance,2,euclidean,0.012254261203636764,0.7420174388833928
145,27,distance,1,euclidean,0.012254261203636764,0.7420174388833928
145,27,distance,2,minkowski,0.012254261203636764,0.7420174388833928
148,53,distance,1,minkowski,0.012254261193514002,0.74322080063124
148,53,distance,1,manhattan,0.012254261193514002,0.74322080063124
148,53,distance,2,manhattan,0.012254261193514002,0.74322080063124
151,29,distance,2,minkowski,0.012254261204799624,0.7444703004965256
151,29,distance,1,euclidean,0.012254261204799624,0.7444703004965256
151,29,distance,2,euclidean,0.012254261204799624,0.7444703004965256
154,55,distance,1,minkowski,0.012254261193514002,0.7455507757041534
154,55,distance,1,manhattan,0.012254261193514002,0.7455507757041534
154,55,distance,2,manhattan,0.012254261193514002,0.7455507757041534
157,17,uniform,1,manhattan,0.7014427687394275,0.746974140190119
157,17,uniform,1,minkowski,0.7014427687394275,0.746974140190119
157,17,uniform,2,manhattan,0.7014427687394275,0.746974140190119
160,57,distance,1,manhattan,0.012254261193514002,0.7473196101476921
160,57,distance,1,minkowski,0.012254261193514002,0.7473196101476921
160,57,distance,2,manhattan,0.012254261193514002,0.7473196101476921
163,31,distance,2,minkowski,0.012254261206079973,0.7474136133575232
163,31,distance,2,euclidean,0.012254261206079973,0.7474136133575232
163,31,distance,1,euclidean,0.012254261206079973,0.7474136133575232
166,59,distance,1,manhattan,0.012254261193514002,0.7490870903643593
166,59,distance,1,minkowski,0.012254261193514002,0.7490870903643593
166,59,distance,2,manhattan,0.012254261193514002,0.7490870903643593
169,61,distance,1,manhattan,0.012254261193514002,0.7511937841394154
169,61,distance,2,manhattan,0.012254261193514002,0.7511937841394154
169,61,distance,1,minkowski,0.012254261193514002,0.7511937841394154
172,33,distance,2,minkowski,0.012254261207364846,0.751256069067586
172,33,distance,1,euclidean,0.012254261207364846,0.751256069067586
172,33,distance,2,euclidean,0.012254261207364846,0.751256069067586
175,11,uniform,2,minkowski,0.6799325822214587,0.7519177640693112
175,11,uniform,1,euclidean,0.6799325822214587,0.7519177640693112
175,11,uniform,2,euclidean,0.6799325822214587,0.7519177640693112
178,63,distance,1,minkowski,0.012254261193514002,0.7535211237571163
178,63,distance,2,manhattan,0.012254261193514002,0.7535211237571163
178,63,distance,1,manhattan,0.012254261193514002,0.7535211237571163
181,35,distance,2,minkowski,0.012254261208706834,0.7543830317022415
181,35,distance,2,euclidean,0.012254261208706834,0.7543830317022415
181,35,distance,1,euclidean,0.012254261208706834,0.7543830317022415
184,19,uniform,1,manhattan,0.7133576481847691,0.7545077524328679
184,19,uniform,1,minkowski,0.7133576481847691,0.7545077524328679
184,19,uniform,2,manhattan,0.7133576481847691,0.7545077524328679
187,65,distance,2,manhattan,0.012254261193514002,0.7550871313873833
187,65,distance,1,manhattan,0.012254261193514002,0.7550871313873833
187,65,distance,1,minkowski,0.012254261193514002,0.7550871313873833
190,37,distance,1,euclidean,0.012254261210095593,0.757275506257671
190,37,distance,2,euclidean,0.012254261210095593,0.757275506257671
190,37,distance,2,minkowski,0.012254261210095593,0.757275506257671
193,67,distance,1,manhattan,0.012254261193514002,0.7573776560746834
193,67,distance,2,manhattan,0.012254261193514002,0.7573776560746834
193,67,distance,1,minkowski,0.012254261193514002,0.7573776560746834
196,69,distance,2,manhattan,0.012254261193514002,0.758937038607215
196,69,distance,1,minkowski,0.012254261193514002,0.758937038607215
196,69,distance,1,manhattan,0.012254261193514002,0.758937038607215
199,39,distance,2,euclidean,0.012254261211568074,0.7604802526837088
199,39,distance,1,euclidean,0.012254261211568074,0.7604802526837088
199,39,distance,2,minkowski,0.012254261211568074,0.7604802526837088
202,71,distance,1,minkowski,0.012254261193514002,0.7604883654272476
202,71,distance,2,manhattan,0.012254261193514002,0.7604883654272476
202,71,distance,1,manhattan,0.012254261193514002,0.7604883654272476
205,21,uniform,1,manhattan,0.7240206746836452,0.7608654920082695
205,21,uniform,1,minkowski,0.7240206746836452,0.7608654920082695
205,21,uniform,2,manhattan,0.7240206746836452,0.7608654920082695
208,41,distance,1,euclidean,0.012254261213037859,0.7622161238039071
208,41,distance,2,minkowski,0.012254261213037859,0.7622161238039071
208,41,distance,2,euclidean,0.012254261213037859,0.7622161238039071
211,73,distance,2,manhattan,0.012254261193514002,0.7627943261706547
211,73,distance,1,manhattan,0.012254261193514002,0.7627943261706547
211,73,distance,1,minkowski,0.012254261193514002,0.7627943261706547
214,13,uniform,2,euclidean,0.700849900865128,0.7630255726964345
214,13,uniform,1,euclidean,0.700849900865128,0.7630255726964345
214,13,uniform,2,minkowski,0.700849900865128,0.7630255726964345
217,43,distance,2,euclidean,0.012254261214677781,0.7644625860731469
217,43,distance,1,euclidean,0.012254261214677781,0.7644625860731469
217,43,distance,2,minkowski,0.012254261214677781,0.7644625860731469
220,75,distance,1,minkowski,0.012254261193514002,0.7646796725379462
220,75,distance,1,manhattan,0.012254261193514002,0.7646796725379462
220,75,distance,2,manhattan,0.012254261193514002,0.7646796725379462
223,45,distance,1,euclidean,0.012254261216299862,0.7657982860003256
223,45,distance,2,minkowski,0.012254261216299862,0.7657982860003256
223,45,distance,2,euclidean,0.012254261216299862,0.7657982860003256
226,77,distance,1,manhattan,0.012254261193514002,0.7661928688880788
226,77,distance,2,manhattan,0.012254261193514002,0.7661928688880788
226,77,distance,1,minkowski,0.012254261193514002,0.7661928688880788
229,47,distance,1,euclidean,0.012254261218012426,0.7672756950042815
229,47,distance,2,minkowski,0.012254261218012426,0.7672756950042815
229,47,distance,2,euclidean,0.012254261218012426,0.7672756950042815
232,79,distance,1,minkowski,0.012254261193514002,0.7675452275113436
232,79,distance,2,manhattan,0.012254261193514002,0.7675452275113436
232,79,distance,1,manhattan,0.012254261193514002,0.7675452275113436
235,23,uniform,2,manhattan,0.7332335295590783,0.7678546460290224
235,23,uniform,1,minkowski,0.7332335295590783,0.7678546460290224
235,23,uniform,1,manhattan,0.7332335295590783,0.7678546460290224
238,49,distance,2,euclidean,0.012254261219746914,0.7689167974430889
238,49,distance,2,minkowski,0.012254261219746914,0.7689167974430889
238,49,distance,1,euclidean,0.012254261219746914,0.7689167974430889
241,15,uniform,2,minkowski,0.7165142051085419,0.7689597286142856
241,15,uniform,2,euclidean,0.7165142051085419,0.7689597286142856
241,15,uniform,1,euclidean,0.7165142051085419,0.7689597286142856
244,81,distance,2,manhattan,0.012254261193514002,0.7693664403842593
244,81,distance,1,manhattan,0.012254261193514002,0.7693664403842593
244,81,distance,1,minkowski,0.012254261193514002,0.7693664403842593
247,51,distance,2,minkowski,0.0122542612215261,0.7706786771964117
247,51,distance,1,euclidean,0.0122542612215261,0.7706786771964117
247,51,distance,2,euclidean,0.0122542612215261,0.7706786771964117
250,25,uniform,1,manhattan,0.740505306574994,0.7712480334693309
250,25,uniform,1,minkowski,0.740505306574994,0.7712480334693309
250,25,uniform,2,manhattan,0.740505306574994,0.7712480334693309
253,83,distance,1,manhattan,0.012254261193514002,0.7712771123126968
253,83,distance,1,minkowski,0.012254261193514002,0.7712771123126968
253,83,distance,2,manhattan,0.012254261193514002,0.7712771123126968
256,85,distance,1,minkowski,0.012254261193514002,0.7723948723495884
256,85,distance,1,manhattan,0.012254261193514002,0.7723948723495884
256,85,distance,2,manhattan,0.012254261193514002,0.7723948723495884
259,53,distance,1,euclidean,0.012254261223466009,0.7725326929516613
259,53,distance,2,euclidean,0.012254261223466009,0.7725326929516613
259,53,distance,2,minkowski,0.012254261223466009,0.7725326929516613
262,87,distance,1,minkowski,0.012254261193514002,0.7740446953803443
262,87,distance,1,manhattan,0.012254261193514002,0.7740446953803443
262,87,distance,2,manhattan,0.012254261193514002,0.7740446953803443
265,17,uniform,1,euclidean,0.7277214202562494,0.7751426603728055
265,17,uniform,2,euclidean,0.7277214202562494,0.7751426603728055
265,17,uniform,2,minkowski,0.7277214202562494,0.7751426603728055
268,55,distance,2,minkowski,0.012254261225348768,0.7752375833042608
268,55,distance,2,euclidean,0.012254261225348768,0.7752375833042608
268,55,distance,1,euclidean,0.012254261225348768,0.7752375833042608
271,89,distance,1,manhattan,0.012254261193514002,0.7757623668018065
271,89,distance,2,manhattan,0.012254261193514002,0.7757623668018065
271,89,distance,1,minkowski,0.012254261193514002,0.7757623668018065
274,27,uniform,2,manhattan,0.7465997272928289,0.7758265194198443
274,27,uniform,1,manhattan,0.7465997272928289,0.7758265194198443
274,27,uniform,1,minkowski,0.7465997272928289,0.7758265194198443
277,57,distance,1,euclidean,0.012254261227277581,0.7773059224385571
277,57,distance,2,euclidean,0.012254261227277581,0.7773059224385571
277,57,distance,2,minkowski,0.012254261227277581,0.7773059224385571
280,91,distance,1,minkowski,0.012254261193514002,0.7773263967236148
280,91,distance,1,manhattan,0.012254261193514002,0.7773263967236148
280,91,distance,2,manhattan,0.012254261193514002,0.7773263967236148
283,29,uniform,1,minkowski,0.7511725280843781,0.7775180269521711
283,29,uniform,2,manhattan,0.7511725280843781,0.7775180269521711
283,29,uniform,1,manhattan,0.7511725280843781,0.7775180269521711
286,93,distance,1,minkowski,0.012254261193514002,0.778759949191844
286,93,distance,1,manhattan,0.012254261193514002,0.778759949191844
286,93,distance,2,manhattan,0.012254261193514002,0.778759949191844
289,59,distance,2,minkowski,0.012254261229312944,0.779797671109063
289,59,distance,2,euclidean,0.012254261229312944,0.779797671109063
289,59,distance,1,euclidean,0.012254261229312944,0.779797671109063
292,95,distance,1,manhattan,0.012254261193514002,0.7801397662606355
292,95,distance,2,manhattan,0.012254261193514002,0.7801397662606355
292,95,distance,1,minkowski,0.012254261193514002,0.7801397662606355
295,31,uniform,1,minkowski,0.7560706959317484,0.7807354642920925
295,31,uniform,1,manhattan,0.7560706959317484,0.7807354642920925
295,31,uniform,2,manhattan,0.7560706959317484,0.7807354642920925
298,97,distance,1,manhattan,0.012254261193514002,0.7813817426392691
298,97,distance,2,manhattan,0.012254261193514002,0.7813817426392691
298,97,distance,1,minkowski,0.012254261193514002,0.7813817426392691
301,61,distance,2,minkowski,0.012254261231434607,0.7822637177127519
301,61,distance,1,euclidean,0.012254261231434607,0.7822637177127519
301,61,distance,2,euclidean,0.012254261231434607,0.7822637177127519
304,19,uniform,1,euclidean,0.7365891044364303,0.7823075109945988
304,19,uniform,2,minkowski,0.7365891044364303,0.7823075109945988
304,19,uniform,2,euclidean,0.7365891044364303,0.7823075109945988
307,99,distance,1,manhattan,0.012254261193514002,0.7824623668406371
307,99,distance,1,minkowski,0.012254261193514002,0.7824623668406371
307,99,distance,2,manhattan,0.012254261193514002,0.7824623668406371
310,33,uniform,2,manhattan,0.7600796356064203,0.7840839528792289
310,33,uniform,1,minkowski,0.7600796356064203,0.7840839528792289
310,33,uniform,1,manhattan,0.7600796356064203,0.7840839528792289
313,63,distance,1,euclidean,0.012254261233591201,0.784917190981617
313,63,distance,2,euclidean,0.012254261233591201,0.784917190981617
313,63,distance,2,minkowski,0.012254261233591201,0.784917190981617
316,65,distance,2,euclidean,0.012254261235806602,0.7864753290017584
316,65,distance,1,euclidean,0.012254261235806602,0.7864753290017584
316,65,distance,2,minkowski,0.012254261235806602,0.7864753290017584
319,21,uniform,1,euclidean,0.7446523837274034,0.7865047537137198
319,21,uniform,2,euclidean,0.7446523837274034,0.7865047537137198
319,21,uniform,2,minkowski,0.7446523837274034,0.7865047537137198
322,35,uniform,1,minkowski,0.7645992649832801,0.7871213217488904
322,35,uniform,1,manhattan,0.7645992649832801,0.7871213217488904
322,35,uniform,2,manhattan,0.7645992649832801,0.7871213217488904
325,67,distance,2,minkowski,0.012254261238024502,0.7881277078944954
325,67,distance,1,euclidean,0.012254261238024502,0.7881277078944954
325,67,distance,2,euclidean,0.012254261238024502,0.7881277078944954
328,37,uniform,2,manhattan,0.7689836159313779,0.789064569850311
328,37,uniform,1,manhattan,0.7689836159313779,0.789064569850311
328,37,uniform,1,minkowski,0.7689836159313779,0.789064569850311
331,69,distance,1,euclidean,0.012254261240260654,0.7891418008570431
331,69,distance,2,minkowski,0.012254261240260654,0.7891418008570431
331,69,distance,2,euclidean,0.012254261240260654,0.7891418008570431
334,23,uniform,1,euclidean,0.7511804505686667,0.7897102101984044
334,23,uniform,2,minkowski,0.7511804505686667,0.7897102101984044
334,23,uniform,2,euclidean,0.7511804505686667,0.7897102101984044
337,71,distance,2,euclidean,0.012254261242554104,0.7905607703300268
337,71,distance,2,minkowski,0.012254261242554104,0.7905607703300268
337,71,distance,1,euclidean,0.012254261242554104,0.7905607703300268
340,5,distance,1,chebyshev,0.012254261193514002,0.7911755490467927
340,5,distance,2,chebyshev,0.012254261193514002,0.7911755490467927
342,39,uniform,2,manhattan,0.7724003986717947,0.791500761952786
342,39,uniform,1,minkowski,0.7724003986717947,0.791500761952786
342,39,uniform,1,manhattan,0.7724003986717947,0.791500761952786
345,73,distance,2,euclidean,0.012254261244971379,0.7916741694767087
345,73,distance,1,euclidean,0.012254261244971379,0.7916741694767087
345,73,distance,2,minkowski,0.012254261244971379,0.7916741694767087
348,25,uniform,2,euclidean,0.7565920979903621,0.792091944214793
348,25,uniform,2,minkowski,0.7565920979903621,0.792091944214793
348,25,uniform,1,euclidean,0.7565920979903621,0.792091944214793
351,75,distance,1,euclidean,0.01225426124742935,0.7932469446218188
351,75,distance,2,minkowski,0.01225426124742935,0.7932469446218188
351,75,distance,2,euclidean,0.01225426124742935,0.7932469446218188
354,41,uniform,2,manhattan,0.7754965953781289,0.793261587270762
354,41,uniform,1,minkowski,0.7754965953781289,0.793261587270762
354,41,uniform,1,manhattan,0.7754965953781289,0.793261587270762
357,27,uniform,2,minkowski,0.7623767405924748,0.7933047572939438
357,27,uniform,2,euclidean,0.7623767405924748,0.7933047572939438
357,27,uniform,1,euclidean,0.7623767405924748,0.7933047572939438
360,77,distance,2,euclidean,0.012254261250006122,0.7949319407729896
360,77,distance,2,minkowski,0.012254261250006122,0.7949319407729896
360,77,distance,1,euclidean,0.012254261250006122,0.7949319407729896
363,43,uniform,2,manhattan,0.7777476580061989,0.7949647472892205
363,43,uniform,1,manhattan,0.7777476580061989,0.7949647472892205
363,43,uniform,1,minkowski,0.7777476580061989,0.7949647472892205
366,29,uniform,1,euclidean,0.7666318337324638,0.7952274393797738
366,29,uniform,2,minkowski,0.7666318337324638,0.7952274393797738
366,29,uniform,2,euclidean,0.7666318337324638,0.7952274393797738
369,79,distance,2,euclidean,0.012254261252616765,0.7967788504860961
369,79,distance,2,minkowski,0.012254261252616765,0.7967788504860961
369,79,distance,1,euclidean,0.012254261252616765,0.7967788504860961
372,45,uniform,1,minkowski,0.7805434154327033,0.7970763483247502
372,45,uniform,2,manhattan,0.7805434154327033,0.7970763483247502
372,45,uniform,1,manhattan,0.7805434154327033,0.7970763483247502
375,31,uniform,2,minkowski,0.7718471065677637,0.7976618745967573
375,31,uniform,2,euclidean,0.7718471065677637,0.7976618745967573
375,31,uniform,1,euclidean,0.7718471065677637,0.7976618745967573
378,7,distance,2,chebyshev,0.012254261193514002,0.7980208990570498
378,7,distance,1,chebyshev,0.012254261193514002,0.7980208990570498
380,81,distance,2,minkowski,0.012254261255277827,0.79831572804628
380,81,distance,2,euclidean,0.012254261255277827,0.79831572804628
380,81,distance,1,euclidean,0.012254261255277827,0.79831572804628
383,47,uniform,2,manhattan,0.7829755916079025,0.7988863285447917
383,47,uniform,1,manhattan,0.7829755916079025,0.7988863285447917
383,47,uniform,1,minkowski,0.7829755916079025,0.7988863285447917
386,83,distance,2,minkowski,0.012254261258037509,0.8002587931958338
386,83,distance,1,euclidean,0.012254261258037509,0.8002587931958338
386,83,distance,2,euclidean,0.012254261258037509,0.8002587931958338
