Model,Train_set,Test_set,RÂ²,RMSE,MAE
ElasticNet,dft,dft,0.36822642686248663,1.1748794687019575,0.952469333660293
ElasticNet,dft,exp,0.29613216555213584,1.0543152791914836,0.8108104714261987
ElasticNet,exp,exp,0.6310090073927813,0.7633660183666682,0.5778305725128648
ElasticNet,exp,dft,-0.03681793224755325,1.50509473537375,1.1910754592838524
Ridge,dft,dft,0.4317914041793015,1.1142085491049005,0.8947212418024755
Ridge,dft,exp,0.2248128789602052,1.1064408845126383,0.8698078563591004
Ridge,exp,exp,0.667524892643983,0.7246103087334702,0.5337570520397207
Ridge,exp,dft,-0.13912753415347656,1.5776067703973362,1.2108420778183298
Lasso,dft,dft,0.3351105655462425,1.2052782029738494,0.9805781203747554
Lasso,dft,exp,0.3162105220365663,1.0391689163744142,0.79726873457196
Lasso,exp,exp,0.5956857414713473,0.799069344142618,0.6140656178763675
Lasso,exp,dft,-0.06909345428847824,1.5283415563197185,1.2178370293181848
GBR,dft,dft,0.6474678723498954,0.8776309648294585,0.6692307826396038
GBR,dft,exp,0.34369197469458157,1.0180727149743938,0.8084126012115954
GBR,exp,exp,0.7916029445267787,0.573681348014307,0.4084933288267026
GBR,exp,dft,0.046973091799511035,1.4429961358977232,1.1143224317579623
LightGBM,dft,dft,0.731649649165877,0.7657088565720512,0.5612165251936724
LightGBM,dft,exp,0.38946538137199294,0.9819290033323813,0.7831744159238104
LightGBM,exp,exp,0.796710973593236,0.5666069650156331,0.38711761040712656
LightGBM,exp,dft,-0.02502419085646035,1.4965100721675442,1.1669069806866068
XGBoost,dft,dft,0.7110669963401259,0.7945315785919036,0.588773143626567
XGBoost,dft,exp,0.36762027778065964,0.9993414670080822,0.7975621886594675
XGBoost,exp,exp,0.8101106576053226,0.5476148744751718,0.38300381709013354
XGBoost,exp,dft,0.08862813626391408,1.4111084582471782,1.0981189802199376
RandomForest,dft,dft,0.7757655518140111,0.699944737700304,0.4621975897502249
RandomForest,dft,exp,0.45125622735846194,0.9309143889968946,0.7445402152217407
RandomForest,exp,exp,0.7727154046783611,0.5991146529774193,0.40962068585202716
RandomForest,exp,dft,0.010881361127542677,1.4700658182788344,1.1567277701760388
ExtraRandomTrees,dft,dft,0.7594103934639362,0.7250217206619745,0.4504951794121363
ExtraRandomTrees,dft,exp,0.4279596380169499,0.9504697014161074,0.758713276806883
ExtraRandomTrees,exp,exp,0.7695667226064914,0.6032502897465847,0.39769834710743807
ExtraRandomTrees,exp,dft,0.0625080881411334,1.4311868970261488,1.1296617512858902
KernelRidge,dft,dft,0.6317420377870007,0.896992185427153,0.6769665205454414
KernelRidge,dft,exp,0.36153808110054997,1.004135774974984,0.7884288459353529
KernelRidge,exp,exp,0.7201121055727604,0.6648397818162999,0.47553023259069277
KernelRidge,exp,dft,0.07865188388306488,1.4188107252161712,1.1184196841986567
KNN,dft,dft,0.6195086688616924,0.9117693102600171,0.6585853722040815
KNN,dft,exp,0.37648608332767586,0.9923114816619821,0.7722439205077034
KNN,exp,exp,0.6221175004657304,0.7725086134479277,0.5382809917355372
KNN,exp,dft,0.06435866507880905,1.4297736422844822,1.123907245589857
SVR,dft,dft,0.7023736891591953,0.8063957816827999,0.5414064615867179
SVR,dft,exp,0.3774057148198847,0.9915794229215492,0.7902542876086005
SVR,exp,exp,0.7336034501916968,0.6486183614029403,0.4160442449731228
SVR,exp,dft,0.03879900048355445,1.4491711967546328,1.1498123457725051
